Title,Artist,Runtime
The Great Train Robbery,Edwin S. Porter,0:12:00
The Wizard of Oz,MGM,1:42:00
Citizen Kane,Orson Welles,1:59:00
White Christmas,Bing Crosby,0:03:02
Singin' in the Rain,MGM,1:43:00
Johnny B. Goode,Chuck Berry,0:02:41
Psycho,Alfred Hitchcock,1:49:00
Hey Jude,The Beatles,0:07:11
2001: A Space Odyssey,Stanley Kubrick,2:29:00
Stairway to Heaven,Led Zeppelin,0:08:02
The Godfather,Francis Ford Coppola,2:55:00
Bohemian Rhapsody,Queen,0:05:55
Star Wars,George Lucas,2:01:00
Thriller,Michael Jackson,0:13:42
Never Gonna Give You Up,Rick Astley,0:03:33
Titanic,James Cameron,3:15:00
The Lord of the Rings: The Return of the King,Peter Jackson,3:21:00
Charlie Bit My Finger,HDCYT,0:00:56
Gangnam Style,PSY,0:04:13
Hamilton,Lin-Manuel Miranda,2:45:00
Baby Shark Dance,Pinkfong,0:02:16
Despacito,Luis Fonsi ft. Daddy Yankee,0:03:47
